,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
302615,A-3020181,2,2020-12-31 14:28:35,2020-12-31 18:41:54,45.513621,-122.792569,45.517261,-122.802249,0.532,A crash has the right lane closed on the ramp NB to WB us-26. Use caution.,,Sunset Hwy W,R,Portland,Washington,OR,97225,US,US/Pacific,KHIO,2020-12-31 14:53:00,51.0,51.0,71.0,29.95,10.0,S,7.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
302622,A-3020189,2,2020-12-31 00:52:22,2020-12-31 01:28:34,32.748173,-96.456924,32.763213,-96.482114,1.795,Stationary traffic on US-80 W from FM-548 (US-80) to Old TX-80 (US-80) due to accident.,,US-80 W,R,Forney,Kaufman,TX,75126,US,US/Central,KHQZ,2020-12-31 00:55:00,38.0,28.0,95.0,29.56,10.0,N,17.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302656,A-3020223,2,2020-12-31 00:34:00,2020-12-31 02:35:42,30.435856,-91.00756,30.438403,-91.007511,0.176,Incident on O'NEAL LN near BRISTOE AVE Drive with caution.,,Bristoe Ave,R,Baton Rouge,East Baton Rouge,LA,70816,US,US/Central,KBTR,2020-12-31 00:53:00,63.0,63.0,93.0,29.84,10.0,ESE,10.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302668,A-3020235,2,2020-12-31 06:50:18,2020-12-31 08:35:18,43.895929,-123.019537,43.886055,-123.02241,0.697,Incident on OR-99 SB near MP 8 Drive with caution.,82283.0, N Pacific Hwy,L,Creswell,Lane,OR,97426-9302,US,US/Pacific,KEUG,2020-12-31 06:54:00,46.0,41.0,93.0,29.77,6.0,SE,9.0,0.03,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
302670,A-3020237,2,2020-12-31 00:43:00,2020-12-31 02:38:17,27.810112,-82.687737,27.810109,-82.689804,0.126,Incident on 42ND AVE near 41ST ST Drive with caution.,4000.0, 42nd Ave N,L,Saint Petersburg,Pinellas,FL,33714-4346,US,US/Eastern,KSPG,2020-12-31 00:53:00,67.0,67.0,87.0,30.06,10.0,ESE,9.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302671,A-3020238,2,2020-12-31 01:22:00,2020-12-31 03:41:01,34.028981,-118.396385,34.031731,-118.389185,0.454,JWO ROBERTSON BLVD. 79-63M REQ TRAFFIC CONTROL 79-83 COPY,,I-10 E,R,Los Angeles,Los Angeles,CA,90034,US,US/Pacific,KSMO,2020-12-31 01:51:00,46.0,44.0,61.0,29.87,10.0,NNE,5.0,,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302695,A-3020262,2,2020-12-31 16:11:30,2020-12-31 19:34:30,34.06508,-117.258802,34.065227,-117.308845,2.864,Stationary traffic on I-10 W - San Bernardino Fwy W from Mountain View Ave (I-10) to N Mount Vernon Ave/Sperry Dr (I-10) due to accident.,,I-10 W,R,San Bernardino,San Bernardino,CA,92408,US,US/Pacific,KSBD,2020-12-31 15:53:00,64.0,64.0,18.0,28.7,7.0,NNE,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
302827,A-3020396,2,2020-12-31 03:42:00,2020-12-31 05:48:34,34.015131,-117.087708,34.013995,-117.081632,0.357,Incident on I-10 EB near OAK GLEN RD Drive with caution.,,I-10 E,R,Redlands,San Bernardino,CA,92373,US,US/Pacific,KSBD,2020-12-31 03:40:00,42.0,42.0,62.0,28.79,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302838,A-3020407,2,2020-12-31 19:53:06,2020-12-31 22:56:28,35.025406,-85.275298,35.025909,-85.276684,0.086,Incident on E 14TH ST near S KELLEY ST Drive with caution.,2201.0, E 14th St,L,Chattanooga,Hamilton,TN,37404-4516,US,US/Eastern,KCHA,2020-12-31 19:53:00,56.0,56.0,93.0,29.36,2.0,N,7.0,0.02,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302873,A-3020442,2,2020-12-31 04:14:00,2020-12-31 05:56:03,38.695406,-120.810172,38.69557,-120.809662,0.03,Incident on PLEASANT VALLEY RD near HOUSE 680 Drive with caution.,667.0, Pleasant Valley Rd,L,Diamond Springs,El Dorado,CA,95619-9241,US,US/Pacific,KPVF,2020-12-31 04:15:00,39.0,36.0,100.0,27.44,4.0,N,5.0,0.01,Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302893,A-3020462,2,2020-12-31 20:59:00,2020-12-31 23:02:13,30.437418,-97.735888,30.442421,-97.741489,0.48,Incident on W PARMER LN near RIATA VISTA CIR Drive with caution.,,Riata Vista Cir,R,Austin,Travis,TX,78727,US,US/Central,KATT,2020-12-31 20:51:00,38.0,33.0,86.0,29.06,10.0,WNW,6.0,,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
302899,A-3020468,2,2020-12-31 00:43:30,2020-12-31 03:05:30,40.037992,-75.010824,40.062121,-74.974177,2.557,Stationary traffic on The Officers O'Hanlon and Lorenzo Memorial Hwy - I-95 N from Cottman Ave/Exit 30 (I-95) to PA-63/Woodhaven Rd/Exit 35 (I-95) due to accident.,,I-95 N,R,Philadelphia,Philadelphia,PA,19136,US,US/Eastern,KPNE,2020-12-31 00:40:00,47.0,42.0,66.0,29.91,10.0,SSW,12.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302906,A-3020475,2,2020-12-31 05:05:00,2020-12-31 07:41:07,34.054551,-118.209396,34.055985,-118.21289,0.223,Incident on I-10 WB near N STATE ST Drive with caution.,,I-10 W,R,Los Angeles,Los Angeles,CA,90033,US,US/Pacific,KCQT,2020-12-31 04:52:00,43.0,43.0,71.0,29.8,10.0,CALM,0.0,,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302971,A-3020540,2,2020-12-31 05:11:30,2020-12-31 06:29:30,34.027332,-118.21118,34.02006,-118.18826,1.405,Slow traffic on Santa Ana Fwy S - I-5 S from CA-60 (I-5) to Ditman Ave/Indiana St/Exit 131 (I-5) due to accident.,,I-5 S,R,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,2020-12-31 04:52:00,43.0,43.0,71.0,29.8,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
302988,A-3020557,2,2020-12-31 21:06:39,2020-12-31 23:10:27,40.218962,-75.543239,40.220112,-75.542226,0.096,Incident on LEWIS RD near LINFIELD TRAPPE RD Drive with caution.,632.0, N Lewis Rd,R,Royersford,Montgomery,PA,19468-1228,US,US/Eastern,KPTW,2020-12-31 20:54:00,33.0,29.0,72.0,30.04,10.0,N,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
303042,A-3020611,2,2020-12-31 19:20:10,2020-12-31 21:05:10,42.408138,-122.176305,42.431498,-122.161995,1.771,Incident on OR-140 EB near MP 39 Drive with caution.,,Lake of the Woods Hwy,R,Klamath Falls,Klamath,OR,97601,US,US/Pacific,KLMT,2020-12-31 18:53:00,33.0,33.0,92.0,26.0,10.0,ESE,3.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
303245,A-3020819,2,2020-12-31 13:56:47,2020-12-31 18:06:15,25.580557,-80.429524,25.580138,-80.429518,0.029,Incident on SW 147TH AVE near SW 200TH ST Drive with caution.,14701.0, SW 200th St,R,Miami,Miami-Dade,FL,33187,US,US/Eastern,KTMB,2020-12-31 13:53:00,,,,30.06,10.0,ESE,18.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
303435,A-3021010,2,2020-12-31 19:58:00,2020-12-31 22:17:38,34.243992,-119.193452,34.251093,-119.208422,0.986,NB JNO. [Rotation Request Comment] 1039 GOLD LINE 805-650-6141,,CA-1 N,R,Ventura,Ventura,CA,93003,US,US/Pacific,KOXR,2020-12-31 19:51:00,54.0,54.0,57.0,29.94,10.0,NNE,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
303576,A-3021155,2,2020-12-31 21:29:19,2020-12-31 23:40:49,32.8857,-96.700711,32.885512,-96.700324,0.026,Incident on LBJ FWY EB near PLANO RD Expect long delays.,,I-635 E,R,Dallas,Dallas,TX,75238,US,US/Central,KDAL,2020-12-31 21:53:00,40.0,34.0,93.0,29.12,3.0,WNW,9.0,0.03,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
303675,A-3021254,2,2020-12-31 14:06:30,2020-12-31 20:32:21,25.908409,-80.235104,25.906712,-80.235959,0.129,Slow traffic on FL-9 from NW 7th Ave to Rutland St due to accident.,,State Road 9,R,Opa Locka,Miami-Dade,FL,33054,US,US/Eastern,KOPF,2020-12-31 13:53:00,80.0,80.0,60.0,30.07,10.0,SSE,20.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
303934,A-3021515,2,2020-12-31 19:54:20,2020-12-31 21:42:56,41.546849,-87.310892,41.556969,-87.310712,0.699,Accident on 61st Ave/Exit 255 (I-65) from Ridge Rd/Exit 258 (I-65) to I-65 N.,,I-65 N,R,Hobart,Lake,IN,46342,US,US/Central,KGYY,2020-12-31 19:45:00,19.0,19.0,93.0,29.71,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
303955,A-3021536,2,2020-12-31 07:32:16,2020-12-31 10:36:38,25.811744,-80.383948,25.811604,-80.383948,0.01,Incident on NW 115TH AVE near NW 41ST ST Expect delays.,11665.0, Doral Blvd,L,Miami,Miami-Dade,FL,33178,US,US/Eastern,KMIA,2020-12-31 07:53:00,74.0,74.0,73.0,30.1,10.0,ESE,13.0,,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
303972,A-3021553,2,2020-12-31 16:18:00,2020-12-31 18:38:30,38.907838,-122.762799,38.910194,-122.765833,0.23,1 MILE S/O. 7-66 CPZ LN 20 - ON THEIR WAY AROUND / 97 W/VEH NOW,9020.0, Highway 175,R,Kelseyville,Lake,CA,95451-9664,US,US/Pacific,KUKI,2020-12-31 15:56:00,54.0,54.0,62.0,29.5,10.0,NW,6.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
303988,A-3021569,2,2020-12-31 01:24:00,2020-12-31 03:35:16,39.678891,-84.221412,39.678441,-84.221441,0.031,Incident on SPRINGBORO PIKE near COBBLEGATE DR Drive with caution.,5510.0, Springboro Pike,L,Dayton,Montgomery,OH,45449-2804,US,US/Eastern,KMGY,2020-12-31 01:33:00,32.0,32.0,96.0,29.04,9.0,NW,3.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
304004,A-3021586,2,2020-12-31 01:41:00,2020-12-31 02:58:27,33.876074,-118.129044,33.876074,-118.125714,0.191,SR91 E / WO BELLFLOWER BLVD. WHI TOYT TUNDRA VS WHI SD IN HOV LN,,CA-91 E,R,Bellflower,Los Angeles,CA,90706,US,US/Pacific,KLGB,2020-12-31 01:53:00,46.0,46.0,76.0,30.01,10.0,CALM,0.0,,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
304017,A-3021599,2,2020-12-31 12:50:00,2020-12-31 14:15:50,33.825949,-118.241053,33.825939,-118.245313,0.245,NB 405 JNO WILMINGTON. [Notification] [CHP]-1039 FRANK SCOTTO TOWING 310-787-0208 ETA 20MIN 1FB [Shared],,I-405 N,R,Long Beach,Los Angeles,CA,90810,US,US/Pacific,KLGB,2020-12-31 12:53:00,63.0,63.0,46.0,29.86,10.0,SE,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
304039,A-3021621,2,2020-12-31 19:55:00,2020-12-31 22:00:23,33.112331,-117.09708,33.118791,-117.10059,0.49,I15 N VALLEY,,Escondido Fwy N,R,Escondido,San Diego,CA,92025,US,US/Pacific,KRNM,2020-12-31 19:53:00,51.0,51.0,46.0,28.46,10.0,NNE,8.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
304075,A-3021658,2,2020-12-31 00:40:10,2020-12-31 03:26:37,45.049105,-117.938371,45.028055,-117.927691,1.545,Incident on I-84 EB near MP 277 Drive with caution.,,US-30 E,R,North Powder,Union,OR,97867,US,US/Pacific,KBKE,2020-12-31 00:53:00,21.0,21.0,85.0,26.54,7.0,CALM,0.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
304189,A-3021774,2,2020-12-31 11:42:09,2020-12-31 12:57:10,43.597387,-116.346148,43.593957,-116.365598,1.002,Incident on I-84 WB near ID-69 Expect long delays.,,I-84 W,R,Meridian,Ada,ID,83642,US,US/Mountain,KMAN,2020-12-31 11:35:00,32.0,27.0,100.0,27.52,1.0,ESE,5.0,,Fog,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
304226,A-3021813,2,2020-12-31 02:18:00,2020-12-31 05:33:19,30.164418,-81.747449,30.164548,-81.747458,0.009,Incident on BLANDING BLVD NB near KINGSLEY AVE Expect delays.,401.0, Blanding Blvd,L,Orange Park,Clay,FL,32073-5027,US,US/Eastern,KNIP,2020-12-31 01:53:00,63.0,63.0,90.0,30.1,10.0,S,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
304278,A-3021866,2,2020-12-31 22:05:59,2020-12-31 23:24:31,30.004488,-90.034857,30.004068,-90.035687,0.058,Incident on OLD GENTILLY RD near HOUSE 4601 Drive with caution.,4753.0, Old Gentilly Rd,L,New Orleans,Orleans,LA,70126-5062,US,US/Central,KNEW,2020-12-31 21:53:00,73.0,73.0,87.0,29.8,7.0,SSE,14.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
304402,A-3021995,2,2020-12-31 16:28:56,2020-12-31 19:50:32,33.554876,-81.77851,33.55485,-81.778752,0.014,Incident on DIBBLE RD near HITCHCOCK PKY Drive with caution.,2398.0, Dibble Rd SW,L,Aiken,Aiken,SC,29801-3377,US,US/Eastern,KAIK,2020-12-31 16:35:00,56.0,56.0,99.0,29.57,3.0,ENE,3.0,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
304498,A-3022092,2,2020-12-31 06:14:13,2020-12-31 08:56:23,34.741821,-82.381931,34.739731,-82.379685,0.193,Incident on PERIMETER RD near LOCKHEED MARTIN BLVD Drive with caution.,2098.0, Perimeter Rd,L,Greenville,Greenville,SC,29605-5275,US,US/Eastern,KGYH,2020-12-31 06:15:00,43.0,43.0,93.0,29.1,0.75,CALM,0.0,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
304508,A-3022102,2,2020-12-31 19:46:10,2020-12-31 20:54:35,34.669793,-92.265061,34.621343,-92.269131,3.356,Stationary traffic on I-530 S - US-65 S - US-167 S from AR-338/Dixon Rd/Exit 3 (I-530) to Pratt Rd/145th St/Exit 7 (I-530) due to accident.,,I-530 S,R,Little Rock,Pulaski,AR,72206,US,US/Central,KLIT,2020-12-31 19:53:00,37.0,28.0,93.0,29.61,5.0,NE,16.0,0.15,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
304530,A-3022125,2,2020-12-31 18:01:00,2020-12-31 19:40:02,34.021445,-118.802517,34.02126,-118.801862,0.04,Incident on CA-1 near KANAN DUME RD Drive with caution.,,Kanan Dume Rd,R,Malibu,Los Angeles,CA,90265,US,US/Pacific,KSMO,2020-12-31 17:51:00,61.0,61.0,32.0,29.76,10.0,NNW,8.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
304594,A-3022192,2,2020-12-31 09:29:04,2020-12-31 11:15:59,40.767711,-74.065253,40.772897,-74.060883,0.425,Incident on NEW JERSEY TPKE near NJ-3 Right lane blocked. Expect delays.,,New Jersey Tpke N,R,Secaucus,Hudson,NJ,07094,US,US/Eastern,KTEB,2020-12-31 09:51:00,44.0,41.0,89.0,30.07,10.0,WNW,6.0,0.02,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
304906,A-3022508,2,2020-12-31 16:41:47,2020-12-31 18:25:34,42.306156,-88.004234,42.306158,-88.004436,0.01,Incident on PETERSON RD WB near US-45 Road closed. Take alternate route.,,W Peterson Rd,R,Libertyville,Lake,IL,60048,US,US/Central,KUGN,2020-12-31 16:55:00,23.0,23.0,78.0,29.54,9.0,VAR,3.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
304952,A-3022554,2,2020-12-31 11:26:21,2020-12-31 13:26:06,40.847153,-73.933501,40.847731,-73.9349,0.083,Incident on GEORGE WASHINGTON BRG WB near MANHATTAN EXPY Road closed. Take alternate route.,,Audubon Ave,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2020-12-31 11:51:00,44.0,42.0,79.0,30.01,10.0,VAR,5.0,0.01,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
305001,A-3022603,2,2020-12-31 06:48:00,2020-12-31 08:43:21,27.964657,-82.43382,27.964497,-82.42922,0.281,Incident on I-4 EB near MM 1 Drive with caution.,,I-4 E,R,Tampa,Hillsborough,FL,33605,US,US/Eastern,KTPF,2020-12-31 06:55:00,68.0,68.0,88.0,30.07,10.0,CALM,0.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
305069,A-3022674,2,2020-12-31 20:03:23,2020-12-31 23:53:39,34.142035,-81.283592,34.142091,-81.28346,0.008,Incident on DUTCH FORK RD near THREE DOG RD Drive with caution.,1301.0, Three Dog Rd,R,Chapin,Richland,SC,29036-8456,US,US/Eastern,KFDW,2020-12-31 19:55:00,50.0,50.0,100.0,29.55,0.75,CALM,0.0,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305146,A-3022752,2,2020-12-31 00:18:00,2020-12-31 02:33:17,29.223293,-83.00045,29.222804,-83.006312,0.355,Incident on SW 72ND PL near SW RD Drive with caution.,13651.0, SW 72nd Pl,L,Cedar Key,Levy,FL,32625-2920,US,US/Eastern,KCTY,2020-12-31 00:15:00,62.0,62.0,95.0,30.06,10.0,E,3.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305183,A-3022789,2,2020-12-31 20:32:38,2020-12-31 23:32:39,29.611001,-95.24522,29.611006,-95.244872,0.021,Incident on FUQUA ST near TOWER BRIDGE ST Drive with caution.,10801.0, Tower Bridge St,R,Houston,Harris,TX,77075-5032,US,US/Central,KHOU,2020-12-31 20:45:00,47.0,42.0,80.0,29.71,10.0,WSW,12.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305437,A-3023044,2,2020-12-31 14:35:00,2020-12-31 17:48:57,38.605737,-120.853538,38.601905,-120.853612,0.265,Incident on CA-49 SB near MICA ST Drive with caution.,6885.0, State Highway 49,R,El Dorado,El Dorado,CA,95623,US,US/Pacific,KPVF,2020-12-31 14:35:00,52.0,52.0,62.0,27.38,10.0,WNW,5.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
305475,A-3023085,2,2020-12-31 21:49:53,2020-12-31 23:52:37,45.116761,-93.197869,45.114701,-93.188339,0.486,Accident from Airport Rd (US-10) to I-35W (US-10).,,US-10 E,R,Saint Paul,Ramsey,MN,55112,US,US/Central,KANE,2020-12-31 21:55:00,18.0,18.0,100.0,29.2,10.0,ESE,3.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305479,A-3023089,2,2020-12-31 00:40:10,2020-12-31 02:45:59,45.152947,-117.972002,45.114764,-117.959815,2.704,A crash has occurred causing no to minimum delays. Use caution.,,I-84 E,R,North Powder,Union,OR,97867,US,US/Pacific,KBKE,2020-12-31 00:53:00,21.0,21.0,85.0,26.54,7.0,CALM,0.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305536,A-3023147,2,2020-12-31 16:44:28,2020-12-31 17:44:28,45.490052,-118.410458,45.493425,-118.412702,0.257,A crash has occurred causing no to minimum delays. Use caution.,,I-84 W,R,Pendleton,Umatilla,OR,97801,US,US/Pacific,KPDT,2020-12-31 16:53:00,44.0,40.0,79.0,28.55,10.0,W,8.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
305827,A-3023440,2,2020-12-31 08:50:40,2020-12-31 10:26:41,32.864759,-96.900507,32.864617,-96.900573,0.011,Incident on N WALTON WALKER SERV SB near W NORTHWEST HWY Drive with caution.,10251.0, N Walton Walker Blvd,L,Dallas,Dallas,TX,75220-4306,US,US/Central,KDAL,2020-12-31 08:48:00,39.0,33.0,87.0,29.43,2.0,N,9.0,0.09,Heavy Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
305856,A-3023470,2,2020-12-31 19:18:00,2020-12-31 20:58:09,33.628431,-117.720404,33.638741,-117.730144,0.906,NB 5 TRANS NB 405 - TRK BYPASS. 86-504 TOW HAS VEH= TAKING IT TO THE GP AT THE END OF THE TRANS RD,,I-5 N,R,Irvine,Orange,CA,92618,US,US/Pacific,KSNA,2020-12-31 18:53:00,60.0,60.0,51.0,29.88,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305892,A-3023506,2,2020-12-31 19:32:30,2020-12-31 20:47:30,41.184235,-79.673935,41.170825,-79.712165,2.193,Slow traffic on I-80 W from PA-478/Exit 45 (I-80) to PA-38/Exit 42 (I-80) due to accident.,,I-80 W,R,Emlenton,Clarion,PA,16373,US,US/Eastern,KFKL,2020-12-31 19:56:00,28.0,28.0,85.0,28.71,10.0,CALM,0.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
305955,A-3023570,2,2020-12-31 12:44:00,2020-12-31 23:14:21,33.307706,-111.894951,33.305813,-111.89414,0.139,Slow traffic from N Metro Blvd to AZ-101 Loop N due to accident.,208.0, N Price Rd,R,Chandler,Maricopa,AZ,85226,US,US/Mountain,KCHD,2020-12-31 12:47:00,57.0,57.0,23.0,28.6,10.0,SW,6.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
306027,A-3023642,2,2020-12-31 19:54:26,2020-12-31 23:02:46,36.152304,-86.786895,36.154674,-86.788435,0.185,Incident on I-40 WB near MM 209 Expect long delays.,,I-40 W,R,Nashville,Davidson,TN,37203,US,US/Central,KBNA,2020-12-31 19:53:00,42.0,37.0,85.0,29.47,10.0,NE,9.0,,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
306366,A-3023988,2,2020-12-31 19:46:00,2020-12-31 23:34:11,38.148532,-120.073095,38.152811,-120.065785,0.495,Incident on CA-108 EB near JENNESS PARK RD Drive with caution.,29099.0, Snowwhite Ridge Dr,R,Long Barn,Tuolumne,CA,95335-9704,US,US/Pacific,KO22,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
306370,A-3023992,2,2020-12-31 18:26:51,2020-12-31 20:49:23,35.722176,-78.58488,35.722819,-78.584062,0.064,Incident on JONES SAUSAGE RD near I-40 Expect delays.,,Jones Sausage Rd,R,Garner,Wake,NC,27529,US,US/Eastern,KRDU,2020-12-31 18:26:00,54.0,54.0,97.0,29.76,0.5,W,5.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
306401,A-3024024,2,2020-12-31 03:07:35,2020-12-31 05:08:21,32.874775,-80.760928,32.877898,-80.760946,0.216,Incident on HALLIE LN near SC-63 Expect delays.,2.0, Hallie Ln,L,Walterboro,Colleton,SC,29488-8701,US,US/Eastern,KRBW,2020-12-31 03:15:00,46.0,42.0,87.0,30.06,10.0,W,8.0,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
306408,A-3024031,2,2020-12-31 01:13:00,2020-12-31 03:08:18,28.968085,-82.370562,28.974101,-82.364433,0.557,Incident on N CARL G ROSE HWY near HOUSE 7565 Expect delays.,7177.0, N Carl G Rose Hwy,R,Hernando,Citrus,FL,34442-2132,US,US/Eastern,KINF,2020-12-31 01:15:00,68.0,68.0,88.0,30.05,7.0,SE,5.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
306489,A-3024112,2,2020-12-31 17:58:00,2020-12-31 19:17:13,30.348931,-97.555937,30.356807,-97.553024,0.571,Incident on LEXINGTON ST near N LEXINGTON ST Drive with caution.,12501.0, Lexington St,R,Manor,Travis,TX,78653,US,US/Central,KEDC,2020-12-31 17:55:00,39.0,31.0,93.0,29.05,10.0,W,14.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
306527,A-3024152,2,2020-12-31 00:47:11,2020-12-31 02:29:18,34.811934,-82.489472,34.810951,-82.488027,0.106,Incident on HOOD RD near ROE RD Drive with caution.,519.0, Hood Rd,R,Greenville,Anderson,SC,29611-7414,US,US/Eastern,KGMU,2020-12-31 00:53:00,43.0,43.0,76.0,29.07,8.0,WNW,3.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
306669,A-3024297,2,2020-12-31 21:34:45,2020-12-31 22:51:20,25.884281,-80.198423,25.884272,-80.198771,0.022,Incident on NW 119TH ST near N MIAMI AVE Drive with caution.,1.0, NW 119th St,R,Miami,Miami-Dade,FL,33168-4432,US,US/Eastern,KOPF,2020-12-31 21:53:00,74.0,74.0,76.0,30.12,10.0,SE,14.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
306815,A-3024444,2,2020-12-31 03:41:52,2020-12-31 08:08:22,33.919831,-79.74709,33.920533,-79.747927,0.068,Incident on BOZY RD near BARNWELL ST Drive with caution.,1814.0, Bozy Rd,L,Scranton,Florence,SC,29591-5731,US,US/Eastern,KCKI,2020-12-31 03:35:00,45.0,45.0,81.0,30.1,10.0,CALM,0.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
306940,A-3024571,2,2020-12-31 21:29:36,2020-12-31 23:08:35,33.033769,-80.198734,33.033743,-80.198619,0.007,Incident on 5TH NORTH ST near RICHARDSON AVE Drive with caution.,,W Richardson Ave,R,Summerville,Dorchester,SC,29483,US,US/Eastern,KDYB,2020-12-31 21:35:00,64.0,64.0,94.0,30.12,0.25,CALM,0.0,,Fog,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
